Sentences,Subject,Object,Verb,tense
	කස‍්සකා ඛෙඛඛ්‍යා කසන‍්ති	,	කස‍්සකා 	,	 ඛෙඛඛ්‍යා	,	 කසන‍්ති	,Present
	ත්‍වං පොත්‍ථකං පඨයි	,	ත්‍වං 	,	 පොත්‍ථකං 	,	 පඨයි	,Present
	තුම‍්හෙ ඔදනං පවථ	,	තුම‍්හෙ 	,	 ඔදනං 	,	 පවථ	,Present
	අහං සිප‍්පං උග‍්ගණ‍්හාමි	,	අහං 	,	 සිප‍්පං 	,	 උග‍්ගණ‍්හාමි	,Present
	මයං රූපානි පස‍්සාම	,	මයං 	,	 රූපානි 	,	 පස‍්සාම	,Present
	දාරකො සයති	,	දාරකො 	,		,	 සයති	,Present
	ත්‍වං රොදසි	,	ත්‍වං	,		,	 රොදසි	,Present
	තුම‍්හෙ නිසීදථ	,	තුම‍්හෙ 	,		,	 නිසීදථ	,Present
	සිස‍්සා සිප‍්පං උග‍්ගණ‍්හන‍්ති	,	සිස‍්සා 	,	 සිප‍්පං 	,	 උග‍්ගණ‍්හන‍්ති	,Present
	මාතා ඔදනං පවති	,	මාතා	,	 ඔදනං 	,	 පවති	,Present
	අහං බුද‍්ධං සරණං ගච‍්ඡාමි	,	අහං 	,	 බුද‍්ධං 	,	 සරණං ගච‍්ඡාමි	,Present
	මයං ධම‍්මං සුණාම	,	මයං 	,	 ධම‍්මං 	,	 සුණාම	,Present
	සොණා මනුස‍්සෙ භුංකරොන‍්ති	,	සොණා 	,	 මනුස‍්සෙ 	,	 භුංකරොන‍්ති	,Present
	ගජො වාපිං ඔරුහති	,	ගජො 	,	 වාපිං 	,	 ඔරුහති	,Present
	මනුස‍්සා වනං පවිසන‍්ති	,	මනුස‍්සා	,	 වනං 	,	 පවිසන‍්ති	,Present
	බාලකො මිත‍්තෙහි සද‍්ධිං ගෙණ‍්ඩුකෙත කළති	,	බාලකො	,	සද‍්ධිං	,	කළති	,Present
	සිස‍්සා ආචරියෙන විනා විජ‍්ජාලයම‍්භා ත නික‍්ඛමන‍්ති	,	සිස‍්සා	,	විජ‍්ජාලයම‍්භා	,	නික‍්ඛමන‍්ති	,Present
	මයං දණ‍්ඩෙහි චොරෙ පහරාම	,	මයං	,	චොරෙ	,	පහරාම	,Present
	දොසො බන්‍ධෙන භාරං වහති	,	දොසො	,	භාරං	,	වහති	,Present
	වෙජජස‍්ස අගදෙහි බාලකස‍්ස රොගො චුප සම‍්මති	,	වෙජජස‍්ස	,	බාලකස‍්ස	,	සම‍්මති	,Present
	මයං රථෙන ගාමෙ විවරාම	,	මයං	,	රථෙන	,	විවරාම	,Present
	සිං පත්‍වං ආගන‍්තුකස‍්ස ආහාරං න දෙසි	,	සිං	,	ආහාරං	,	න දෙසි	,Present
"	කිං තුම‍්හෙ කුටුමඛීසානං දොර පහරථ,	",	තුම‍්හෙ	,	කුටුමඛීසානං දොර	,	පහරථ	,Present
	මයං වාණිජමතා සාකචෙ කණාම	,	මයං	,	වාණිජමතා	,	කණාම	,Present
	තෙ පාචකස‍්ස උසුයන‍්ති	,	තෙ 	,	පාචකස‍්ස	,	උසුයන‍්ති	,Present
	කුටුම‍්බිකා සමණසස‍්මිං පසිදන‍්ති	,	කුටුම‍්බිකා	,	සමණසස‍්මිං	,	පසිදන‍්ති	,Present
	අහං පරිබ‍්බාජකෙසු න පසීදාමි	,	අහං	,	පරිබ‍්බාජකෙසු	,	න පසීදාමි	,Present
	තෙ හසකි	,	තෙ 	,		,	 හසකි	,Present
	තුම‍්හෙ නිසීදථ	,	තුම‍්හෙ 	,		,	 නිසීදථ	,Present
	පවං සයසි	,	පවං 	,		,	 සයසි	,Present
	තෙ රොදන‍්ති	,	තෙ 	,		,	 රොදන‍්ති	,Present
	තුම‍්හෙ රොදථ	,	තුම‍්හෙ 	,		,	 රොදථ	,Present
	මයං ගච‍්ඡාම	,	මයං 	,		,	 ගච‍්ඡාම	,Present
	මයං සියාම	,	මයං 	,		,	 සියාම	,Present
	තුම‍්හෙ ආගච‍්ඡථ	,	තුම‍්හෙ	,		,	 ආගච‍්ඡථ	,Present
	තුම‍්හෙ වදථ	,	තුම‍්හෙ 	,		,	 වදථ	,Present
	සො ඔදනං පවති	,	සො 	,	 ඔදනං 	,	 පවති	,Present
	තෙ ඔදනං පවන‍්ති	,	තෙ 	,	 ඔදනං 	,	 පවන‍්ති	,Present
	ත්‍වං ඔදනං පචසි	,	ත්‍වං 	,	 ඔදනං 	,	 පචසි	,Present
	තුම‍්හෙ ඔදනං පවථ	,	තුම‍්හෙ	,	 ඔදනං 	,	 පවථ	,Present
	අහං ඔදනං පචාමි	,	අහං	,	 ඔදනං 	,	 පචාමි	,Present
	මයං ඔදනං පචාම	,	මයං 	,	 ඔදනං 	,	 පචාම	,Present
	සො ඔදනං පවතෙ	,	සො 	,	 ඔදනං 	,	 පවතෙ	,Present
	තෙ ඔදනං පවන‍්තෙ	,	තෙ 	,	 ඔදනං 	,	 පවන‍්තෙ	,Present
	ත්‍වං ඔදනං පචසො	,	ත්‍වං	,	 ඔදනං 	,	 පචසො	,Present
	තුම‍්හෙ ඔදනං පචව‍්හෙ	,	තුම‍්හෙ	,	 ඔදනං 	,	 පචව‍්හෙ	,Present
	අහං ඔදනං පචෙ	,	අහං	,	 ඔදනං 	,	 පචෙ	,Present
	මයං ඔදනං පවාම‍්හෙ	,	මයං 	,	 ඔදනං 	,	 පවාම‍්හෙ	,Present
	වනිතා ඔදනං පවි	,	වනිතා 	,	 ඔදනං 	,	 පවි	,Present
	දාරිකා මග‍්ගො ධාවි	,	දාරිකා 	,	 මග‍්ගො 	,	 ධාවි	,Present
	කඤ‍්ඤා ගොධං පහරි	,	කඤ‍්ඤා 	,	 ගොධං 	,	 පහරි	,Present
	බ්‍රාහ‍්මණි ගෙහං අගමි	,	බ්‍රාහ‍්මණි 	,	 ගෙහං 	,	 අගමි	,Present
	මාතා පුත‍්තස‍්ස ආහාරං අදදී	,	මාතා	,	පුත‍්තස‍්ස ආහාරං	,	අදදී	,Present
	පුප‍්ඵාති විකසන‍්ති 	,	පුප‍්ඵාති 	,		,	 විකසන‍්ති 	,Present
	වනිතා ගච‍්ඡති 	,	වනිතා 	,		,	 ගච‍්ඡති 	,Present
	ථෙරො වදති	,	ථෙරො 	,		,	 වදති	,Present
	චොරො වාණිජාය අස‍්සං දෙති	,	චොරො	,	වාණිජාය අස‍්සං	,	දෙති	,Present
	තුම‍්හෙ. කස‍්සකානං ගොණෙ දදථ	,	තුම‍්හෙ	,	කස‍්සකානං ගොණෙ	,	දදථ	,Present
	භුපාලො ගජස‍්ස ආහාරං දෙති	,	භුපාලො	,	ගජස‍්ස ආහාරං	,	දෙති	,Present
	මයං සාමණෙරස‍්ස දානං දෙම	,	මයං	,	සාමණෙරස‍්ස දානං	,	දෙම	,Present
	ත්‍වං කුහිං වසසි	,	ත්‍වං 	,	 කුහිං 	,	 වසසි	,Present
	අහං ගාමස‍්මිං වසාමි	,	අහං 	,	 ගාමස‍්මිං 	,	 වසාමි	,Present
	බාලකා පබ‍්බතෙසු ධාවන‍්ති	,	බාලකා 	,	 පබ‍්බතෙසු 	,	 ධාවන‍්ති	,Present
	සකටො මග‍්ගස‍්මිං ගච‍්ඡති	,	සකටො	,	 මග‍්ගස‍්මිං 	,	 ගච‍්ඡති	,Present
	කස‍්මා තුම‍්හෙ මඤෙවසු නිසීදථ 	,	තුම‍්හෙ	,	 මඤෙවසු	,	නිසීදථ 	,Present
	නරා දෙවෙසු පසීදන‍්ති 	,	නරා 	,	 දෙවෙසු 	,	 පසීදන‍්ති 	,Present
	සුනඛා කුහිං වසන‍්ති	,	සුනඛා 	,	 කුහිං 	,	 වසන‍්ති	,Present
	සුනඛා ගාමෙසු වසන‍්ති	,	සුනඛා 	,	 ගාමෙසු 	,	 වසන‍්ති	,Present
	කුමාරො රථස‍්මිං තිට‍්ඨති	,	කුමාරො	,	 රථස‍්මිං 	,	 තිට‍්ඨති	,Present
	තුම‍්හෙ සමුද‍්දස‍්මිං වසථ 	,	තුම‍්හෙ 	,	 සමුද‍්දස‍්මිං 	,	 වසථ 	,Present
	පුරිසා සකටෙහි ගච‍්ඡන‍්ති	,	පුරිසා 	,	 සකටෙහි 	,	 ගච‍්ඡන‍්ති	,Present
	සීහා පබ‍්බතෙසු වසන‍්ති	,	සීහා 	,	 පබ‍්බතෙසු 	,	 වසන‍්ති	,Present
	අහං සකටෙන ගාමං ගච‍්ඡාමි	,	අහං	,	ගාමං	,	ගච‍්ඡාමි	,Present
	තුම‍්හෙ ගාමස‍්මිං තිට‍්ඨථ	,	තුම‍්හෙ 	,	 ගාමස‍්මිං 	,	 තිට‍්ඨථ	,Present
	මයං පබ‍්බතස‍්මිං තිට‍්ඨාම	,	මයං	,	පබ‍්බතස‍්මිං	,	තිට‍්ඨාම	,Present
	චන්‍දො ච සුරියො ච ආකාසස‍්මිං විරොචන‍්ති 	,	චන්‍දො ච සුරියො ච	,	ආකාසස‍්මිං	,	විරොචන‍්ති	,Present
	වානරා ඵලානි ච පුප‍්ඵානි ච ඛාදන‍්ති	,	වානරා	,	ඵලානි ච පුප‍්ඵානි ච	,	ඛාදන‍්ති	,Present
	බාලකා කුහිං උග‍්ගණ‍්හන‍්ති	,	බාලකා 	,	 කුහිං 	,	උග‍්ගණ‍්හන‍්ති	,Present
	පුරිසො දානං දෙති	,	පුරිසො 	,	 දානං 	,	දෙති	,Present
	කුමාරො සුඛෙන වසති	,	කුමාරො	,	 සුඛෙන 	,	වසති	,Present
	මයං සීලං රක‍්ඛාම	,	මයං 	,	 සීලං 	,	රක‍්ඛාම	,Present
	ගොපාලො කථං ඛීරං ලභති	,	ගොපාලො	,	ඛීරං	,	ලභති	,Present
	අහං තත්‍ථ ධම‍්මං උග‍්ගණ‍්හාමි	,	අහං	,	ධම‍්මං	,	උග‍්ගණ‍්හාමි	,Present
	එත්‍ථි දාසා ච වසන‍්ති	,	එත්‍ථි දාසා ච	,		,	වසන‍්ති	,Present
	කථං තුම‍්හෙ සුඛං ලභථ 	,	තුම‍්හෙ	,	සුඛං	,	ලභථ	,Present
	චොරස‍්ස හත්‍ථස‍්මිං වත්‍ථං අත්‍ථි	,	චොරස‍්ස	,	වත්‍ථං	,	අත්‍ථි	,Present
	කුමාරා යානෙන උය්‍යානං ගච‍්ඡන‍්ති	,	කුමාරා	,	උය්‍යානං	,	ගච‍්ඡන‍්ති	,Present
	නරො පාපෙන දුක‍්ඛං ලබති	,	නරො	,	දුක‍්ඛං	,	ලබති	,Present
	බාලකො මඤ‍්චස‍්මිං සයති	,	බාලකො	,	මඤ‍්චස‍්මිං	,	සයති	,Present
	මිත‍්තස‍්ස හත්‍ථස‍්මිං ධනං අත්‍ථි	,	මිත‍්තස‍්ස හත්‍ථස‍්මිං	,	ධනං	,	අත්‍ථි	,Present
	කථං එත්‍ථ තුම‍්හෙ දුක‍්ඛස‍්මා මුඤචථ	,	තුම‍්හෙ	,	දුක‍්ඛස‍්මා	,	මුඤචථ	,Present
	අහං සමාධිං භාවයාමි	,	අහං	,	සමාධිං	,	භාවයාමි	,Present
	ත්‍වං තප‍්පියං පරිභුංජසි	,	ත්‍වං	,	තප‍්පියං	,	පරිභුංජසි	,Present
	මයං වාචාය සමානං ධම‍්මං ඔලොකෙම	,	මයං	,	සමානං ධම‍්මං	,	ඔලොකෙම	,Present
	දාසෙ පුත‍්තෙන සහ වීවදති	,	දාසෙ	,	පුත‍්තෙන සහ	,	වීවදති	,Present
	තුම‍්හෙ බුද‍්ධස‍්ස උපදෙසං සතිමා සුණන‍්තු	,	තුම‍්හෙ	,	බුද‍්ධස‍්ස උපදෙසං	,	සුණන‍්තු	,Present
	චොරා පරස‍්ස සම‍්පත‍්තිං විනාසයන‍්ති	,	චොරා	,	පරස‍්ස සම‍්පත‍්තිං	,	විනාසයන‍්ති	,Present
	පුරිසහ බලවතා හස‍්තෙන වක‍්කලං ගණ‍්හාති	,	පුරිසහ	,	වක‍්කලං	,	ගණ‍්හාති	,Present
	අහං චත‍්තාරි බ්‍රහ‍්මවිහාරානි භාවයාමි	,	අහං	,	චත‍්තාරි බ්‍රහ‍්මවිහාරානි	,	භාවයාමි	,Present
	ත්‍වං සංසාරස‍්ස කාරණං විජානාසි	,	ත්‍වං	,	සංසාරස‍්ස කාරණං	,	විජානාසි	,Present
	මයං බුද‍්ධස‍්ස උපට‍්ඨානං කරෙමා	,	මයං	,	 බුද‍්ධස‍්ස උපට‍්ඨානං	,	කරෙමා	,Present
	දාසෙ භික‍්ඛුනා සද‍්ධිං ධම‍්මසකච‍්ඡාං කරොති	,	දාසෙ	,	ධම‍්මසකච‍්ඡාං	,	කරොති	,Present
	තුම‍්හෙ නිබ‍්බානගමනං පතිපජ‍්ජන‍්තු	,	තුම‍්හෙ	,	නිබ‍්බානගමනං	,	පතිපජ‍්ජන‍්තු	,Present
	චොරා මනුස‍්සානං ධනං චොරයන‍්ති	,	චොරා	,	මනුස‍්සානං ධනං	,	චොරයන‍්ති	,Present
	පුරිසහ රකයාය වස‍්ත්‍රං උග‍්ගණ‍්හාති	,	පුරිසහ	,	වස‍්ත්‍රං	,	උග‍්ගණ‍්හාති	,Present
	අහං හිමවන‍්තම් පරිභ්‍රමාමි	,	අහං	,	හිමවන‍්තම්	,	පරිභ්‍රමාමි	,Present
	ත්‍වං බුද‍්ධස‍්ස ධම‍්මං ධාරයසි	,	ත්‍වං	,	බුද‍්ධස‍්ස ධම‍්මං	,	ධාරයසි	,Present
	මයං බුද‍්ධස‍්ස සාවකස‍්ස උපට‍්ඨානං කරෙම	,	මයං	,	බුද‍්ධස‍්ස සාවකස‍්ස උපට‍්ඨානං	,	කරෙම	,Present
	දාසෙ මහාපුරිසස‍්ස පාඩකත‍්තං දස‍්සයති	,	දාසෙ	,	මහාපුරිසස‍්ස පාඩකත‍්තං	,	දස‍්සයති	,Present
	තුම‍්හෙ සලලක‍්ඛණානි විජානාථ	,	තුම‍්හෙ	,	සලලක‍්ඛණානි	,	විජානාථ	,Present
	චොරා ගාමං පරිභ්‍රමන‍්ති	,	චොරා	,	ගාමං	,	පරිභ්‍රමන‍්ති	,Present
	පුරිසහ සමුද‍්දං තරති	,	පුරිසහ	,	සමුද‍්දං	,	තරති	,Present
	අහං කුසලචිත‍්තං භාවයාමි	,	අහං	,	කුසලචිත‍්තං	,	භාවයාමි	,Present
	ත්‍වං බුද‍්ධං නමස‍්සාසි	,	ත්‍වං	,	බුද‍්ධං	,	නමස‍්සාසි	,Present
	මයං ධම‍්මං පටිපජ‍්ජාම	,	මයං	,	ධම‍්මං	,	පටිපජ‍්ජාම	,Present
	දාසෙ පබ‍්බජිතස‍්ස චීවරං දන‍්තුකාමි	,	දාසෙ	,	පබ‍්බජිතස‍්ස චීවරං	,	දන‍්තුකාමි	,Present
	තුම‍්හෙ දසබලස‍්ස ධම‍්මං සුණන‍්තු	,	තුම‍්හෙ	,	දසබලස‍්ස ධම‍්මං	,	සුණන‍්තු	,Present
	චොරා මනුස‍්සානං වස‍්ත්‍රානි චොරයන‍්ති	,	චොරා	,	මනුස‍්සානං වස‍්ත්‍රානි	,	චොරයන‍්ති	,Present
	පුරිසහ අනනුග‍්ගහකාරී භවති	,	පුරිසහ	,	අනනුග‍්ගහකාරී	,	භවති	,Present
	අහං රූපාරූපං විඤ‍්ඤාණං අත‍්තනා පරිච‍්ඡිනිදාමි	,	අහං	,	රූපාරූපං විඤ‍්ඤාණං	,	පරිච‍්ඡිනිදාමි	,Present
	ත්‍වං බුද‍්ධානුස‍්සතිං භාවයසි	,	ත්‍වං	,	බුද‍්ධානුස‍්සතිං	,	භාවයසි	,Present
	මයං සාරිපුත‍්තස‍්ස උපට‍්ඨානං කරෙම	,	මයං	,	සාරිපුත‍්තස‍්ස උපට‍්ඨානං	,	කරෙම	,Present
	දාසෙ ධම‍්මදස‍්සනසම‍්පන‍්නො භවති	,	දාසෙ	,	ධම‍්මදස‍්සනසම‍්පන‍්නො	,	භවති	,Present
	තුම‍්හෙ අනුත‍්තරං සම‍්මාසම‍්බොධිං අභිසම‍්බුද‍්ධා භවන‍්තු	,	තුම‍්හෙ	,	අනුත‍්තරං සම‍්මාසම‍්බොධිං	,	භවන‍්තු	,Present
	මුනි ධම‍්මං අභාසි	,	මුනි	,	ධම‍්මං	,	අභාසි	,Past
	ගහපතයො විහිං මිණිංසු	,	ගහපතයො 	,	විහිං	,	මිණිංසු	,Past
	අහි අධිපතිනො හත්‍ථං ඩසි	,	අහි	,	අධිපතිනො හත්‍ථං	,	ඩසි	,Past
	කවි පාණිනා මණිං ගණ‍්හි	,	කවි	,	 මණිං	,	ගණ‍්හි	,Past
	බලවතො නත‍්තා පාතො මම ගොණං ගණ‍්හි	,	බලවතො 	,	මම ගොණං	,	ගණ‍්හි	,Past
	දීපයො ගිරිම‍්හි චරිංසු	,	දීපයො	,	ගිරිම‍්හි	,	චරිංසු	,Past
	අරි අසිනා ගොණං පා හරි	,	අරි	,	ගොණං	,	පා හරි	,Past
	ජෙතා දාතාරං බාහුනා පහරි	,	ජෙතා	,	දාතාරං	,	බාහුනා පහරි	,Past
	කපි අහිනො කුච‍්ඡිං පහරි	,	කපි	,	අහිනො කුච‍්ඡිං	,	පහරි	,Past
	කවයො දීපම‍්හි නිධි ඛණිංසු	,	කවයො	,	නිධි	,	ඛණිංසු	,Past
	තුම‍්හෙ අත්‍ථිනං කපයො දදිත්‍ථ	,	කපයො	,	අත්‍ථිනං	,	දදිත්‍ථ	,Past
	මුනයො අධිපතීනං ගාමං ගච‍්ඡිංසු	,	මුනයො	,	අධිපතීනං ගාමං	,	ගච‍්ඡිංසු	,Past
	ගහපතිස‍්ස කුමාරො උද‍්ධිං අගච‍්ඡි	,	කුමාරො	,	ගහපතිස‍්ස  උද‍්ධිං	,	අගච‍්ඡි	,Past
	අධිපති කවීනංමණයො අද‍්දි	,	අධිපති	,	කවීනංමණයො	,	අද‍්දි	,Past
	ගරු මය‍්හං සුසුනං උච‍්ඡවො අදදි	,	ගරු	,	මය‍්හං සුසුනං	,	උච‍්ඡවො අදදි	,Past
	කපයො හත්‍ථෙහි රුක‍්ඛෙ ආරුහිංසු	,	කපයො	,	රුක‍්ඛෙ	,	ආරුහිංසු	,Past
